izo;prijati;zamitnuti;celkem
108029417.0;661;1143;1804
108030091.0;80;118;198
108030482.0;32;136;168
108030598.0;52;119;171
108030717.0;20;44;64
108030733.0;129;181;310
108030814.0;30;97;127
108032019.0;21;12;33
108032060.0;126;270;396
108032876.0;31;65;96
108035743.0;90;243;333
108035905.0;24;10;34
108036421.0;175;505;680
108040771.0;4;4;8
108040780.0;32;59;91
108040895.0;196;366;562
108040909.0;195;546;741
108043690.0;56;118;174
108043720.0;52;58;110
108043738.0;52;77;129
108046141.0;14;25;39
108047695.0;191;337;528
108047741.0;177;364;541
108047750.0;117;211;328
108047784.0;84;158;242
108047792.0;397;877;1274
108047911.0;22;38;60
108047920.0;55;93;148
108047938.0;60;60;120
108047946.0;30;83;113
108047954.0;87;275;362
108047989.0;288;743;1031
108051692.0;207;470;677
108051749.0;16;9;25
108052028.0;60;196;256
108052052.0;65;156;221
108052940.0;60;242;302
108052958.0;89;423;512
108052974.0;136;71;207
108052991.0;27;41;68
108054021.0;267;467;734
108054063.0;55;79;134
108054071.0;119;206;325
108054080.0;119;257;376
108054098.0;54;131;185
108054101.0;45;129;174
108054110.0;79;123;202
108054195.0;1;0;1
108055698.0;41;55;96
108055710.0;29;36;65
110000030.0;52;24;76
110000048.0;54;97;151
110001621.0;73;77;150
110001630.0;120;333;453
110001648.0;115;239;354
110001656.0;118;1430;1548
110001664.0;3;13;16
110001699.0;12;7;19
110001885.0;399;1020;1419
110001923.0;19;20;39
110002008.0;118;678;796
110005007.0;8;0;8
110007671.0;26;178;204
110007701.0;37;48;85
110007778.0;93;321;414
110007786.0;114;328;442
110007808.0;160;97;257
110008952.0;14;16;30
110009487.0;60;130;190
110009541.0;94;157;251
110009550.0;210;493;703
110009584.0;63;172;235
110009614.0;54;116;170
110009665.0;80;134;214
110009681.0;108;233;341
110009711.0;87;112;199
110009754.0;52;87;139
110009762.0;49;51;100
110009789.0;114;201;315
110009819.0;120;134;254
110009878.0;83;124;207
110009967.0;56;72;128
110009975.0;119;217;336
110010019.0;192;447;639
110010043.0;81;198;279
110010086.0;103;354;457
110010108.0;59;101;160
110010116.0;84;92;176
110010167.0;60;126;186
110010175.0;59;89;148
110010205.0;66;156;222
110010221.0;64;99;163
110010256.0;89;100;189
110010264.0;210;403;613
110010311.0;92;257;349
110010353.0;74;128;202
110010680.0;4;0;4
110011066.0;19;67;86
110011295.0;105;260;365
110011325.0;30;60;90
110011350.0;52;179;231
110011473.0;4;6;10
110011520.0;12;2;14
110011848.0;28;81;109
110012127.0;26;29;55
110012151.0;95;200;295
110012160.0;114;112;226
110012186.0;118;206;324
110012216.0;58;124;182
110012259.0;30;5;35
110012267.0;43;67;110
110012275.0;32;68;100
110012283.0;96;79;175
110012291.0;58;142;200
110012305.0;94;172;266
110012356.0;92;181;273
110012364.0;210;534;744
110012437.0;79;166;245
110012445.0;62;153;215
110012453.0;30;203;233
110012461.0;107;474;581
110012488.0;43;80;123
110012542.0;57;58;115
110012569.0;30;14;44
110012879.0;46;95;141
110012895.0;26;20;46
110013204.0;65;130;195
110013387.0;20;15;35
110013450.0;37;60;97
110013514.0;3;0;3
110013573.0;2;3;5
110013638.0;5;0;5
110014898.0;90;164;254
110015037.0;135;285;420
110015061.0;79;161;240
110015070.0;65;92;157
110017501.0;75;88;163
